director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
,G,,The Jungle Book,73741048,10/18/67 0:00,78,,,
Andrew Adamson,PG,55034805,The Chronicles of Narnia: Prince Caspian,141621490,5/16/08 0:00,140,225000000,,
John Landis,R,276538,National Lampoon's Animal House,120091123,7/28/78 0:00,109,,,
,G,29531619,Pocahontas,141579773,6/16/95 0:00,81,,,
Rob Reiner,R,15517468,A Few Good Men,141340178,12/11/92 0:00,138,40000000,,
Danny Boyle,R,4301870,Slumdog Millionaire,141319928,11/12/08 0:00,120,15000000,,
Brett Ratner,PG-13,33001803,Rush Hour,141186864,9/18/98 0:00,97,33000000,,
,R,29207381,The Blair Witch Project,140539099,7/16/99 0:00,86,60000,,
,PG-13,41152375,Deep Impact,140464664,5/8/98 0:00,120,,,
Brett Ratner,PG-13,49100158,Rush Hour 3,140125968,8/10/07 0:00,90,140000000,,
Amy Heckerling,PG-13,12107784,Look Who's Talking,140088813,10/13/89 0:00,93,,,
Rob Minkoff,PG,15018223,Stuart Little,140035367,12/17/99 0:00,84,133000000,,
Olivier Megaton,PG-13,49514769,Taken 2,139854287,10/5/12 0:00,91,45000000,,
,PG,11894587,Sister Act,139605150,5/29/92 0:00,100,,,
Andy & Lana Wachowski,R,48475154,The Matrix Revolutions,139313948,11/5/03 0:00,135,150000000,,
Michael Lembeck,G,29008696,The Santa Clause 2,139236327,11/1/02 0:00,105,65000000,,
Tom Hooper,R,4484352,The King's Speech,135453143,11/26/10 0:00,118,15000000,,
Shawn Levy,PG,27557647,Cheaper by the Dozen,138614544,12/25/03 0:00,98,40000000,,
Michael Bay,R,46522560,Bad Boys II,138608444,7/18/03 0:00,147,130000000,,
Oliver Stone,R,8179149,Platoon,138530565,12/19/86 0:00,120,6000000,,
Phil LordChris Miller (II),R,36302612,21 Jump Street,138447667,3/16/12 0:00,109,42000000,,
Gus Van Sant,R,10261471,Good Will Hunting,138433435,12/5/97 0:00,126,,,
Robert Zemeckis,PG,30051075,A Christmas Carol,137855863,11/6/09 0:00,96,200000000,,
,PG,38854851,Dinosaur,137748063,5/19/00 0:00,82,127500000,,
James Wan,R,41855326,The Conjuring,137400141,7/19/13 0:00,112,20000000,,
Frank Coraci,PG-13,40011365,Click,137355633,6/23/06 0:00,97,82500000,,
Frank Darabont,R,18017152,The Green Mile,136801374,12/10/99 0:00,188,60000000,,
Ron Howard,R,34216088,Ransom,136492681,11/8/96 0:00,121,,,
Roland Emmerich,PG-13,44047541,Godzilla,136314294,5/20/98 0:00,140,130000000,,
,G,33504025,101 Dalmatians,136189294,11/27/96 0:00,103,,,
Ben Affleck,R,19458109,Argo,136025503,10/12/12 0:00,120,44500000,,
Peter Segal,PG-13,42220847,Anger Management,135645823,4/11/03 0:00,101,75000000,,
,G,40049778,Chicken Little,135386665,11/4/05 0:00,81,150000000,,
,PG,25398367,Teenage Mutant Ninja Turtles,135265915,3/30/90 0:00,93,13500000,,
Tom Shadyac,PG-13,25262280,Patch Adams,135026902,12/25/98 0:00,115,90000000,,
,R,302393,The Godfather,133698921,3/15/72 0:00,175,6000000,,
Louis Leterrier,PG-13,55414050,The Incredible Hulk,134806913,6/13/08 0:00,114,150000000,,
Len Wiseman,PG-13,33369559,Live Free or Die Hard,134529403,6/27/07 0:00,130,110000000,,
Timur Bekmambetov,R,50927085,Wanted,134508551,6/27/08 0:00,108,75000000,,
Seth Gordon,R,34551025,Identity Thief,134506920,2/8/13 0:00,111,35000000,,
Richard Donner,PG,6535784,Superman,134218018,12/15/78 0:00,143,55000000,,
Tim Story,PG-13,41516170,Ride Along,134202565,1/17/14 0:00,100,25000000,,
Michael Bay,R,25069525,The Rock,134069511,6/7/96 0:00,136,75000000,,
J.J. Abrams,PG-13,47743273,Mission: Impossible III,134029801,5/5/06 0:00,126,150000000,,
Dennis Dugan,PG-13,41508572,Grown Ups 2,133668525,7/12/13 0:00,101,80000000,,
Wolfgang Petersen,R,46865412,Troy,133378256,5/14/04 0:00,163,175000000,,
Ron Howard,PG-13,46204168,Angels & Demons,133375846,5/15/09 0:00,140,150000000,,
Mike Mitchell,G,23244744,Alvin and the Chipmunks: Chipwrecked,133110742,12/16/11 0:00,87,75000000,,
Adam Shankman,PG-13,31101026,Bringing Down the House,132716677,3/7/03 0:00,105,33000000,,
James Mangold,PG-13,53113752,The Wolverine,132556852,7/26/13 0:00,126,120000000,,
Martin Scorsese,R,26887467,The Departed,132384315,10/6/06 0:00,150,90000000,,
Ang Lee,PG-13,62128420,Hulk,132177234,6/20/03 0:00,135,137000000,,
David O. Russell,R,4079314,Silver Linings Playbook,132092958,11/16/12 0:00,122,21000000,,
Steven Spielberg,PG,,Close Encounters of the Third Kind,116395460,11/16/77 0:00,137,20000000,,
Steven Spielberg,PG-13,35677125,Minority Report,132072926,6/21/02 0:00,144,102000000,,
Tim Story,PG,58051684,Fantastic Four: Rise of the Silver Surfer,131921738,6/15/07 0:00,89,130000000,,
M. Night Shyamalan,PG,40325019,The Last Airbender,131772187,7/1/10 0:00,103,150000000,,
Carlos Saldanha,G,39327869,Rio 2,131538435,4/11/14 0:00,101,103000000,,
Simon West,PG-13,47735743,Lara Croft: Tomb Raider,131168070,6/15/01 0:00,100,115000000,,
Jonathan Demme,R,13766814,The Silence of the Lambs,130742922,2/14/91 0:00,118,19000000,,
Joe Johnston,PG,14262961,"Honey, I Shrunk the Kids",130724172,6/23/89 0:00,101,,,
,PG,29688730,The Flintstones,130531208,5/27/94 0:00,91,46000000,,
Richard Donner,R,34048124,Lethal Weapon 4,130444603,7/10/98 0:00,127,140000000,,
Peter Segal,PG-13,38683480,Get Smart,130319208,6/20/08 0:00,110,80000000,,
Ridley Scott,R,43565115,American Gangster,130164645,11/2/07 0:00,160,100000000,,
Sam Mendes,R,8188587,American Beauty,130096601,9/15/99 0:00,122,15000000,,
Taylor Hackford,R,5019863,An Officer and a Gentleman,129795554,7/30/82 0:00,122,,,
Gore Verbinski,PG-13,15015393,The Ring,129128133,10/18/02 0:00,109,48000000,,
Tom Shadyac,PG-13,25411725,The Nutty Professor,128814019,6/28/96 0:00,103,54000000,,
Larry Charles,R,26455463,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,128505958,11/3/06 0:00,84,18000000,,
Carlos Saldanha (co-director)Chris Wedge,PG,36045301,Robots,128200012,3/11/05 0:00,90,75000000,,
John Landis,R,21404420,Coming to America,128152301,6/29/88 0:00,116,,,
Ang Lee,PG-13,8647295,"Crouching Tiger, Hidden Dragon",128078872,12/8/00 0:00,120,17000000,,
Martin Scorsese,R,41062440,Shutter Island,128012934,2/19/10 0:00,138,80000000,,
Sylvester Stallone,PG,19991537,Rocky IV,127873716,11/27/85 0:00,91,,,
,PG,34440317,Enchanted,127807262,11/21/07 0:00,107,85000000,,
David Fincher,PG-13,26853816,The Curious Case of Benjamin Button,127509326,12/25/08 0:00,168,150000000,,
Adam McKay,PG-13,26232425,Anchorman 2: The Legend Continues,125168368,12/18/13 0:00,119,50000000,,
Andy Tennant,PG-13,35648740,Sweet Home Alabama,127223418,9/27/02 0:00,102,30000000,,
The Farrelly Bros.,PG-13,16363442,Dumb and Dumber,127175374,12/16/94 0:00,101,17000000,,
John Singleton,PG-13,50472480,2 Fast 2 Furious,127154901,6/6/03 0:00,101,76000000,,
P.J. Hogan,PG-13,21678377,My Best Friend's Wedding,127120029,6/20/97 0:00,105,38000000,,
J.J. Abrams,PG-13,35451168,Super 8,127004179,6/10/11 0:00,112,50000000,,
Michael Apted,PG-13,35519007,The World Is Not Enough,126943684,11/19/99 0:00,128,135000000,,
,PG,,Smokey and the Bandit,126737428,5/27/77 0:00,96,,,
Nora Ephron,PG,17253733,Sleepless in Seattle,126680884,6/25/93 0:00,105,21000000,,
,PG,38021044,Bee Movie,126631277,11/2/07 0:00,90,150000000,,
Ridley Scott,R,51050101,Prometheus,126477084,6/8/12 0:00,124,130000000,,
Daniel Espinosa,R,40172720,Safe House,126373434,2/10/12 0:00,117,85000000,,
Steven Brill,PG-13,37162787,Mr. Deeds,126293452,6/28/02 0:00,91,50000000,,
Peter Weir,PG,31542121,The Truman Show,125618201,6/5/98 0:00,103,,,
Steven Soderbergh,R,28138465,Erin Brockovich,125595205,3/17/00 0:00,130,52000000,,
Steven Soderbergh,PG-13,39153380,Ocean's Twelve,125544280,12/10/04 0:00,124,110000000,,
McG,PG-13,42558390,Terminator Salvation,125322469,5/21/09 0:00,114,200000000,,
McG,PG-13,40128550,Charlie's Angels,125305545,11/3/00 0:00,98,93000000,,
,PG-13,25143007,Tomorrow Never Dies,125304276,12/19/97 0:00,119,,,
Peter Berg,R,37849910,Lone Survivor,125095601,12/25/13 0:00,121,40000000,,
Sylvester Stallone,PG,12431486,Rocky III,124146897,5/28/82 0:00,99,,,
Michael Sucsy,PG-13,41202458,The Vow,125014030,2/10/12 0:00,104,30000000,,
Ang Lee,PG,22451514,Life of Pi,124987023,11/21/12 0:00,126,120000000,,
Phil LordChris Miller (II),PG,30304648,Cloudy with a Chance of Meatballs,124870275,9/18/09 0:00,81,100000000,,
David Frankel,PG-13,27537244,The Devil Wears Prada,124740460,6/30/06 0:00,106,35000000,,
Nancy Meyers,PG-13,16064723,Something's Gotta Give,124728738,12/12/03 0:00,128,80000000,,
Steven Soderbergh,R,15517549,Traffic,124115725,12/27/00 0:00,147,,,
Mike Nichols,R,18275828,The Birdcage,124060553,3/8/96 0:00,117,,,
Ron Underwood,PG-13,13032121,City Slickers,124033791,6/7/91 0:00,112,27000000,,
Barry Levinson,R,11752913,"Good Morning, Vietnam",123922370,12/25/87 0:00,119,,,
Gore Verbinski,PG,38079323,Rango,123477607,3/4/11 0:00,107,135000000,,
Peter Segal,PG-13,42518830,The Nutty Professor II: The Klumps,123309890,7/28/00 0:00,106,84000000,,
Jon Chu,PG-13,40501814,G.I. Joe: Retaliation,122523060,3/28/13 0:00,99,130000000,,
Phillip Noyce,PG-13,20348017,Clear and Present Danger,122187717,8/5/94 0:00,141,62000000,,
John McTiernan,PG,17161835,The Hunt for Red October,122012643,3/2/90 0:00,134,30000000,,
,R,16611793,The Bodyguard,121945720,11/25/92 0:00,130,,,
Penelope Spheeris,PG-13,18122710,Wayne's World,121697323,2/14/92 0:00,95,20000000,,
Doug Liman,PG-13,27118640,The Bourne Identity,121661683,6/14/02 0:00,118,60000000,,
Greg Mottola,R,33052411,Superbad,121463226,8/17/07 0:00,114,20000000,,
Jan DeBont,R,14456194,Speed,121248145,6/10/94 0:00,116,30000000,,
Peter Segal,PG-13,39852237,50 First Dates,120908074,2/13/04 0:00,96,75000000,,
Barry Cook,G,22745143,Mulan,120620254,6/19/98 0:00,88,,,
Quentin Tarantino,R,38054676,Inglourious Basterds,120540719,8/21/09 0:00,152,70000000,,
Gary Ross,PG-13,20854735,Seabiscuit,120277854,7/25/03 0:00,129,87000000,,
Stephen Sommers,PG-13,51748040,Van Helsing,120177084,5/7/04 0:00,130,160000000,,
Seth Gordon,PG-13,31069826,Four Christmases,120146040,11/26/08 0:00,82,80000000,,
Dennis Dugan,PG-13,34233750,I Now Pronounce You Chuck and Larry,120059556,7/20/07 0:00,110,85000000,,
,PG-13,23117068,The Mask,119938730,7/29/94 0:00,97,23000000,,
,PG,34017930,Cloudy with a Chance of Meatballs 2,119793567,9/27/13 0:00,95,78000000,,
Steven Spielberg,PG,13522535,Hook,119654823,12/11/91 0:00,142,70000000,,
Mel Brooks,R,,Blazing Saddles,119500000,2/7/74 0:00,93,,,
James Mangold,PG-13,22347341,Walk the Line,119519402,11/18/05 0:00,135,28000000,,
,PG,31706934,G-Force,119436770,7/24/09 0:00,90,150000000,,
Paul Verhoeven,R,25533700,Total Recall,119394840,6/1/90 0:00,113,65000000,,
Mark Rydell,PG,8177208,On Golden Pond,119285432,12/4/81 0:00,109,,,
Adam McKay,PG-13,35543162,The Other Guys,119219978,8/6/10 0:00,107,100000000,,
Michael Moore,R,23920637,Fahrenheit 9/11,119194771,6/23/04 0:00,116,6000000,,
,PG-13,31178526,The Sum of All Fears,118907036,5/31/02 0:00,118,68000000,,
Adam Shankman,PG,27476745,Hairspray,118871849,7/20/07 0:00,107,,,
Peyton Reed,PG-13,39172785,The Break-Up,118703275,6/2/06 0:00,106,52000000,,
Brad Silberling,PG,30061756,Lemony Snicket's A Series of Unfortunate Events,118634549,12/17/04 0:00,113,140000000,,
Josh GordonWill Speck,PG-13,33014202,Blades of Glory,118594548,3/30/07 0:00,93,61000000,,
Robert Zemeckis,PG,27835125,Back to the Future Part II,118450002,11/22/89 0:00,108,40000000,,
Phillip Noyce,PG-13,36011243,Salt,118311368,7/23/10 0:00,99,110000000,,
Paul Verhoeven,R,15129385,Basic Instinct,117727224,3/20/92 0:00,123,49000000,,
Louis Leterrier,PG-13,29350389,Now You See Me,117723989,5/31/13 0:00,116,75000000,,
Raja Gosnell,PG-13,25661041,Big Momma's House,117559438,6/2/00 0:00,98,30000000,,
Renny Harlin,R,21744661,Die Hard 2: Die Harder,117540947,7/6/90 0:00,124,70000000,,
Seth Gordon,R,28302165,Horrible Bosses,117538559,7/8/11 0:00,100,35000000,,
,PG,,Rocky,117235147,11/21/76 0:00,119,,,
Jeff Tremaine,R,50353641,Jackass 3-D,117229692,10/15/10 0:00,94,20000000,,
Steven Soderbergh,PG-13,36133403,Ocean's Thirteen,117154724,6/8/07 0:00,113,,,
Clark Johnson,PG-13,37062535,S.W.A.T.,116934650,8/8/03 0:00,111,80000000,,
Martin Scorsese,R,18361578,The Wolf of Wall Street,116900694,12/25/13 0:00,180,100000000,,
Curtis Hanson,R,51240555,8 Mile,116750901,11/8/02 0:00,118,41000000,,
,R,23162542,Double Jeopardy,116741558,9/24/99 0:00,105,70000000,,
Lee Daniels,PG-13,24637312,Lee Daniels' The Butler,116632095,8/16/13 0:00,132,30000000,,
Martin Campbell,PG-13,53174303,Green Lantern,116601172,6/17/11 0:00,105,200000000,,
,PG-13,21811180,Notting Hill,116089678,5/28/99 0:00,124,42000000,,
,PG,,The Towering Inferno,116000000,12/14/74 0:00,165,14000000,,
Nora Ephron,PG,18426749,You've Got Mail,115821495,12/18/98 0:00,119,65000000,,
Mark Steven Johnson,PG-13,45388836,Ghost Rider,115802596,2/16/07 0:00,110,110000000,,
Boaz Yakin,PG,20905831,Remember the Titans,115654751,9/29/00 0:00,113,30000000,,
Neill Blomkamp,R,37354308,District 9,115646235,8/14/09 0:00,113,30000000,,
,PG,12652336,The Karate Kid Part II,115103979,6/20/86 0:00,113,,,
George Lucas,PG,,American Graffiti,115000000,8/1/73 0:00,110,,,
Penny Marshall,PG,8216190,Big,114968774,6/3/88 0:00,104,,,
Rawson Marshall Thurber,PG-13,30070196,DodgeBall: A True Underdog Story,114326736,6/18/04 0:00,97,20000000,,
M. Night Shyamalan,PG-13,50746142,The Village,114197520,7/30/04 0:00,108,60000000,,
,PG,26223128,Bolt,114053579,11/21/08 0:00,96,150000000,,
Barry Sonnenfeld,PG-13,27687484,Wild Wild West,113804681,6/30/99 0:00,107,170000000,,
Steven Soderbergh,R,39127170,Magic Mike,113721571,6/29/12 0:00,110,7000000,,
Barry Sonnenfeld,PG-13,24203754,The Addams Family,113502426,11/22/91 0:00,102,30000000,,
Roland Emmerich,R,22413710,The Patriot,113330342,6/28/00 0:00,164,110000000,,
Tony Gilroy,PG-13,38142825,The Bourne Legacy,113203870,8/10/12 0:00,135,125000000,,
Adam Shankman,PG,30552694,The Pacifier,113086868,3/4/05 0:00,91,56000000,,
Steve Carr,PG,25037039,Dr. Dolittle 2,112952899,6/22/01 0:00,87,70000000,,
,R,,The Rocky Horror Picture Show,112892319,9/26/75 0:00,100,,,
Nancy Meyers,R,22100820,It's Complicated,112735375,12/25/09 0:00,118,85000000,,
Robert Rodriguez,PG,26546881,Spy Kids,112719001,3/30/01 0:00,88,35000000,,
Ivan Reitman,PG,29472894,Ghostbusters II,112494738,6/16/89 0:00,102,,,
John Woo,R,23387530,Face/Off,112276146,6/27/97 0:00,138,80000000,,
Todd Phillips,R,41671198,The Hangover Part III,112200072,5/23/13 0:00,100,103000000,,
Ivan Reitman,PG,11174980,Twins,111938388,12/9/88 0:00,105,15000000,,
Robert Rodriguez,PG,33417739,Spy Kids 3D: Game Over,111761982,7/25/03 0:00,85,38000000,,
,GP,,Doctor Zhivago,111721910,12/22/65 0:00,197,,,
Tony Scott,R,20038573,Enemy of the State,111549836,11/20/98 0:00,131,90000000,,
,G,6031914,The Little Mermaid,84355863,11/17/89 0:00,83,,,
Rob Minkoff,PG,32207057,Mr. Peabody & Sherman,111506430,3/7/14 0:00,90,145000000,,
,R,7623988,Porky's,105492483,3/19/82 0:00,94,,,
Edward Zwick,R,24271354,The Last Samurai,111127263,12/5/03 0:00,154,140000000,,
Ben Stiller,R,25812796,Tropic Thunder,110515313,8/13/08 0:00,107,92000000,,
Garry Marshall,PG-13,56260707,Valentine's Day,110485654,2/12/10 0:00,117,52000000,,
,PG-13,39128715,The Grudge,110359362,10/22/04 0:00,96,10000000,,
Dean Parisot,PG-13,14383515,Fun with Dick and Jane,110332737,12/21/05 0:00,90,100000000,,
Mark S. Waters,PG,22203007,Freaky Friday,110230332,8/6/03 0:00,97,20000000,,
Adam Shankman,PG,27450296,Bedtime Stories,110101975,12/25/08 0:00,95,80000000,,
David Zucker,PG-13,48113770,Scary Movie 3,110003217,10/24/03 0:00,90,48000000,,
,PG,16881888,Star Trek IV: The Voyage Home,109713132,11/26/86 0:00,109,,,
Judd Apatow,R,21422815,The 40-Year-Old Virgin,109449237,8/19/05 0:00,116,26000000,,
,PG,24462976,Crocodile Dundee II,109306210,5/25/88 0:00,110,,,
,PG-13,34286740,Couples Retreat,109204945,10/9/09 0:00,107,70000000,,
,R,,One Flew Over the Cuckoo's Nest,108981275,11/20/75 0:00,133,3000000,,
Joel Schumacher,R,14823159,A Time to Kill,108766007,7/26/96 0:00,149,,,
Ridley Scott,R,28611736,Black Hawk Down,108638745,12/28/01 0:00,144,92000000,,
James L. Brooks,PG,4245520,Terms of Endearment,108423489,11/23/83 0:00,131,8000000,,
Steve Oedekerk,PG-13,37804076,Ace Ventura: When Nature Calls,108385533,11/10/95 0:00,94,,,
Garry Marshall,G,22862269,The Princess Diaries,108248956,8/3/01 0:00,114,26000000,,
,PG,14100523,Superman II,108185706,6/19/81 0:00,128,54000000,,
Tim Hill,PG,37543710,Hop,108085305,4/1/11 0:00,90,63000000,,
Quentin Tarantino,R,9311882,Pulp Fiction,107928762,10/14/94 0:00,154,8000000,,
Oren Peli,R,19617650,Paranormal Activity,107918810,9/25/09 0:00,99,15000,,
Penny Marshall,PG,13739456,A League of Their Own,107533928,7/1/92 0:00,128,40000000,,
Chris Wedge,PG,33531068,Epic,107518682,5/24/13 0:00,102,100000000,,
Zack Snyder,R,55214334,Watchmen,107509799,3/6/09 0:00,163,130000000,,
Joel Schumacher,PG-13,42872605,Batman and Robin,107325195,6/20/97 0:00,125,125000000,,
Paul Greengrass,PG-13,25718314,Captain Phillips,107100855,10/11/13 0:00,134,55000000,,
Darren Aronofsky,R,8383479,Black Swan,106954678,12/3/10 0:00,103,13000000,,
Harold Ramis,R,18383507,Analyze This,106885658,3/5/99 0:00,103,80000000,,
Peter Lord,G,17506162,Chicken Run,106834564,6/23/00 0:00,84,45000000,,
,PG-13,10046534,Miss Congeniality,106807667,12/22/00 0:00,109,45000000,,
,R,18387632,Indecent Proposal,106614059,4/9/93 0:00,116,,,
,PG,5705721,Driving Miss Daisy,106593296,12/15/89 0:00,99,,,
Noam Murro,R,45038460,300: Rise of An Empire,106580051,3/7/14 0:00,102,110000000,,
Martin Campbell,PG-13,26205007,GoldenEye,106429941,11/17/95 0:00,130,,,
,GP,,Love Story,106397186,12/16/70 0:00,100,,,
Robert Benton,PG,,Kramer Vs. Kramer,106260000,12/19/79 0:00,105,,,
F. Gary Gray,PG-13,19457944,The Italian Job,106128601,5/30/03 0:00,111,60000000,,
,PG-13,23774850,How to Lose a Guy in 10 Days,105813373,2/7/03 0:00,116,,,
,PG,18913411,The First Wives Club,105489203,9/20/96 0:00,102,,,
Ridley Scott,PG-13,36063385,Robin Hood,105269730,5/14/10 0:00,148,200000000,,
Neil Jordan,R,36389705,Interview with the Vampire,105264608,11/11/94 0:00,123,60000000,,
,PG,16540791,George of the Jungle,105263257,7/18/97 0:00,92,55000000,,
Mike Nichols,PG,,The Graduate,104642560,12/21/67 0:00,106,,,
Jon Turteltaub,PG,16158901,Phenomenon,104636382,7/5/96 0:00,123,,,
,R,33369440,American Wedding,104565114,8/1/03 0:00,102,55000000,,
Sam Mendes,R,22079481,Road to Perdition,104454762,7/12/02 0:00,119,80000000,,
Ron ClementsJohn Musker,G,24208916,The Princess and the Frog,104400899,11/25/09 0:00,95,105000000,,
Michael Apted,PG,24005069,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,12/10/10 0:00,112,155000000,,
Steve Carr,PG,27623580,Daddy Day Care,104297061,5/9/03 0:00,92,60000000,,
Henry JoostAriel Schulman,R,52568183,Paranormal Activity 3,104028807,10/21/11 0:00,81,5000000,,
Brad Peyton,PG,27335363,Journey 2: The Mysterious Island,103860290,2/10/12 0:00,94,79000000,,
,PG,22543911,Dick Tracy,103738726,6/15/90 0:00,105,47000000,,
Peter Ramsey,PG,23773465,Rise of the Guardians,103412758,11/21/12 0:00,97,145000000,,
Bill Condon,PG-13,14100050,Dreamgirls,103365956,12/15/06 0:00,125,,,
,PG,3966832,9 to 5,103290500,12/19/80 0:00,110,,,
Sylvester Stallone,R,34825135,The Expendables,103068524,8/13/10 0:00,103,80000000,,
Wes Craven,R,6354586,Scream,103046663,12/20/96 0:00,110,14000000,,
Dennis Dugan,PG-13,30514732,Just Go With It,103028109,2/11/11 0:00,110,80000000,,
Simon West,R,22332053,The General's Daughter,102705852,6/18/99 0:00,117,95000000,,
Martin Scorsese,PG-13,8631367,The Aviator,102610330,12/17/04 0:00,168,110000000,,
Paul WeitzChris Weitz*,R,18709680,American Pie,102561004,7/9/99 0:00,95,11000000,,
Mark Steven Johnson,PG-13,40310419,Daredevil,102543518,2/14/03 0:00,97,78000000,,
David Fincher,R,12768604,The Girl with the Dragon Tattoo,102515793,12/21/11 0:00,160,90000000,,
Rob Cohen,PG-13,40457770,The Mummy: Tomb of the Dragon Emperor,102491776,8/1/08 0:00,114,145000000,,
Wolfgang Petersen,R,15269388,In the Line of Fire,102314823,7/9/93 0:00,128,40000000,,
,M,,Butch Cassidy and the Sundance Kid,102308889,9/23/69 0:00,110,,,
,G,,Mary Poppins,31000000,8/29/64 0:00,139,,,
,G,,Bambi,3000000,8/21/42 0:00,69,,,
Jeff Tremaine,R,32055177,Jackass Presents: Bad Grandpa,102003019,10/25/13 0:00,93,15000000,,
Guillermo del Toro,PG-13,37285325,Pacific Rim,101802906,7/12/13 0:00,131,190000000,,
,PG,21018141,Journey to the Center of the Earth,101704370,7/11/08 0:00,92,60000000,,
Dominic Sena,PG-13,25336048,Gone in 60 Seconds,101648571,6/9/00 0:00,117,90000000,,
Richard Donner,PG,17248545,Maverick,101631272,5/20/94 0:00,127,,,
Joseph Ruben,R,13777943,Sleeping with the Enemy,101599005,2/8/91 0:00,99,19000000,,
Evan GoldbergSeth Rogen,R,20719162,This is the End,101470202,6/12/13 0:00,107,32000000,,
D.J. Caruso,PG-13,29150721,Eagle Eye,101440743,9/26/08 0:00,118,80000000,,
Brenda ChapmanSimon Wells,PG,14524321,The Prince of Egypt,101413188,12/18/98 0:00,99,70000000,,
Wes Craven,R,32926342,Scream 2,101363301,12/12/97 0:00,120,24000000,,
Sidney Poitier,R,8691886,Stir Crazy,101300000,12/12/80 0:00,111,,,
,R,24566446,Eraser,101295562,6/21/96 0:00,115,100000000,,
Darren Aronofsky,PG-13,43720472,Noah,101200044,3/28/14 0:00,138,125000000,,
